zoo_id;animal_id;animal_name;weight
1;101;Амурский тигр;200
1;102;Бурый медведь;300
1;103;Африканский слон;4000
1;107;Мудрая сова;3
1;109;Гребнистый крокодил;500
2;101;Амурский тигр;200
2;102;Бурый медведь;300
2;105;Серый волк;45
2;106;Обыкновенная лисица;7
2;110;Енот-полоскун;8
3;301;Тираннозавр Рекс;8000
3;302;Велоцираптор;15
3;303;Трицератопс;6000
3;304;Брахиозавр;35000
3;109;Гребнистый крокодил;500
4;401;Белый единорог;450
4;402;Огнедышащий дракон;5000
4;403;Горный грифон;350
4;404;Птица Феникс;10
4;107;Мудрая сова;3
5;501;Junior Developer;75
5;502;Невыспавшийся первокурсник;65
5;503;Нерабочий код;0.01
5;110;Енот-полоскун;8
5;107;Мудрая сова;3
